case_number,service_type,opened_date_time,support_plan,account_type,severity,technology_level_1,technology_level_2,technology_level_3,assignment_group,assignment_count,meaningful_comm_count,first_meaningful_comm_duration_mins,all_avg_meaningful_comm_duration_mins,case_origination_source,case_origination_user_type,case_origination_day,case_origination_time,severity_change,age_of_account_days,life_time_invoice_usd,recurring_invoice_usd,case_duration_days,country
cs000930,technical,2/14/2019,standard,subscription,1,level_1_5,level_2_6,level_3_137,group_6,0,4,8.2998,63.7707,source_3,customer,weekday,prime_time,no,,0,,264.6621108,sweden
cs000931,technical,5/14/2019,free,lite,4,level_1_2,level_2_2,level_3_49,group_3,0,22,19.5828,376.7764909,source_3,customer,weekday,prime_time,no,,,,175.3723307,brazil
cs000932,technical,2/27/2019,standard,payg,4,level_1_2,level_2_27,level_3_131,group_3,1,34,88.5666,3251.201947,source_10,customer,weekday,prime_time,no,,,,251.3726779,unspecified
cs000933,technical,5/7/2018,free,lite,4,level_1_8,level_2_24,level_3_76,group_8,2,3,187778.2332,66686.3554,source_10,customer,weekday,non_prime_time,no,,,,547.9534186,japan
cs000934,technical,5/20/2019,basic,payg,4,level_1_8,level_2_20,level_3_137,group_8,1,5,3906.6498,1381.89,source_10,customer,weekday,prime_time,no,,147.13,,169.6495182,japan
cs000935,non technical,7/30/2019,free,subscription,4,level_1_7,level_2_20,level_3_23,group_13,0,1,2858.4162,2858.4162,source_3,customer,weekday,prime_time,no,,0,,98.23006215,united states of america
cs000936,technical,4/12/2019,basic,payg,3,level_1_6,level_2_11,level_3_137,group_7,0,2,424.9998,57339.4665,source_5,customer,weekday,prime_time,yes,3129.083118,312066.93,4301.43,207.1197497,mexico
cs000937,non technical,4/26/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,469.7328,469.7328,source_3,customer,weekday,prime_time,no,,0,,193.4085922,united states of america
cs000938,technical,9/14/2018,standard,subscription,2,level_1_2,level_2_24,level_3_131,group_3,0,9,94.2996,1645.274067,source_11,employee,weekday,prime_time,no,798.0831177,0,0,417.51137,united states of america
cs000939,technical,11/12/2018,free,lite,4,level_1_2,level_2_24,level_3_49,group_3,1,3,115.083,1066.55,source_1,employee,weekday,prime_time,no,,,,358.464495,spain
cs000940,non technical,12/15/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,2997.4662,1498.8249,source_5,employee,weekend,non_prime_time,no,,0,,325.8206524,japan
cs000941,non technical,5/28/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,7,34138.983,8690.204743,source_3,customer,weekday,prime_time,no,,0,,161.3343909,canada
cs000942,technical,12/6/2018,basic,payg,2,level_1_3,level_2_11,level_3_137,group_4,0,,0,0,source_5,employee,weekday,prime_time,no,,,,334.1489973,unspecified
cs000943,non technical,10/5/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,4,0.033,6557.0499,source_5,employee,weekend,prime_time,no,,0,,31.49099965,germany
cs000944,non technical,8/8/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,4,521.6496,4434.9333,source_3,customer,weekday,prime_time,no,,,,89.55654363,unspecified
cs000945,technical,10/10/2018,free,lite,4,level_1_5,level_2_18,level_3_137,group_6,1,2,56342.583,28853.325,source_1,employee,weekday,prime_time,no,,,,391.2616478,canada
cs000946,non technical,9/28/2018,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,31.7664,31.7664,source_10,customer,weekday,prime_time,no,,,,403.7555946,unspecified
cs000947,technical,3/7/2019,standard,subscription,2,level_1_2,level_2_2,level_3_64,group_3,0,1,47.0664,47.0664,source_3,customer,weekday,non_prime_time,no,,756.69,,244.0328284,japan
cs000948,technical,5/9/2019,standard,subscription,4,level_1_1,level_2_5,level_3_15,group_2,0,6,29.4828,2582.125,source_3,customer,weekday,prime_time,yes,,0,,180.2414163,united states of america
cs000949,technical,1/24/2019,free,lite,4,level_1_2,level_2_20,level_3_131,group_3,0,2,1652.4,828.1416,source_3,customer,weekday,prime_time,no,,,,285.3690436,united kingdom
cs000950,,12/1/2017,premium,subscription,3,,level_2_18,level_3_28,group_12,0,13,41.433,3668.201262,source_11,customer,weekday,prime_time,no,,,,704.489414,united states of america
cs000951,technical,12/28/2018,free,payg,4,level_1_4,level_2_7,level_3_29,group_5,1,3,6374.7666,9671.1054,source_1,customer,weekday,prime_time,no,,1008,,312.1313006,united states of america
cs000952,technical,1/29/2019,standard,subscription,1,level_1_4,level_2_3,level_3_137,group_5,0,1,26.1,26.1,source_1,customer,weekday,prime_time,no,1686.083118,6824658.75,100393.43,280.385583,brazil
cs000953,non technical,6/7/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,4,10,114.4998,1178.35998,source_5,customer,weekday,prime_time,no,,2961.2,,151.2311154,united states of america
cs000954,non technical,3/6/2018,standard,payg,1,level_1_7,level_2_20,level_3_146,group_13,2,6,297.0666,257.8277,source_11,customer,weekday,prime_time,no,1093.083118,826.23,0,609.4640552,united kingdom
cs000955,non technical,10/11/2018,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,20.3166,20.3166,source_10,customer,weekday,prime_time,no,,,,390.7010575,unspecified
cs000956,non technical,9/24/2019,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,6294.4332,6294.4332,source_10,customer,weekday,prime_time,no,,,,42.77126586,unspecified
cs000957,non technical,9/12/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,0.0498,3459.6582,source_5,employee,weekday,prime_time,no,,1013.9,,54.276289,canada
cs000958,non technical,1/22/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,32602.9332,16774.4166,source_5,employee,weekday,prime_time,no,,6113.8,,287.2658723,canada
cs000959,,8/6/2019,basic,payg,4,,level_2_7,level_3_137,group_17,0,9,1000.9164,270.4407333,source_3,customer,weekday,prime_time,no,,299.9,,91.43135845,israel
cs000960,technical,8/20/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,4,91.0332,48.97905,source_3,customer,weekday,prime_time,no,1857.083118,2295410.17,47474.44,77.58062928,france
cs000961,non technical,9/25/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,0.033,1439.625,source_5,employee,weekday,prime_time,no,,-30.72,,41.30770104,united states of america
cs000962,non technical,2/25/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,3,0.0666,12183.3276,source_5,employee,weekday,prime_time,no,,0,,253.7653399,pakistan
cs000963,technical,7/23/2019,free,lite,4,level_1_4,level_2_9,level_3_51,group_5,0,1,35.0496,35.0496,source_3,customer,weekday,prime_time,no,,,,105.3257103,united states of america
cs000964,non technical,2/27/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,4,7220.8662,2506.2582,source_3,customer,weekday,prime_time,no,,136.01,,251.4708145,france
cs000965,technical,9/1/2019,free,lite,4,level_1_2,level_2_7,level_3_64,group_3,0,1,13.2828,13.2828,source_3,customer,weekend,prime_time,no,,,,65.10523576,united states of america
cs000966,non technical,10/26/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,1,4,2888.5998,1480.36245,source_11,customer,weekday,prime_time,no,,,,375.0844487,spain
cs000967,technical,5/7/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,3,21.3828,107.3722,source_3,customer,weekday,non_prime_time,no,1371.083118,88830.19,2191.47,183.0121918,japan
cs000968,technical,2/13/2019,free,lite,4,level_1_5,level_2_7,level_3_137,group_6,0,6,1346.9496,3145.5722,source_1,customer,weekday,non_prime_time,no,,,,265.9575159,india
cs000969,non technical,8/16/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,92306.55,92306.55,source_11,customer,weekday,prime_time,no,,0,,446.4665321,france
cs000970,technical,10/29/2018,basic,payg,4,level_1_4,level_2_4,level_3_51,group_5,0,1,17.0664,17.0664,source_11,customer,weekday,prime_time,no,,2.95,,372.6588932,india
cs000971,non technical,1/26/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,7.0662,2096.4081,source_3,customer,weekend,prime_time,no,,0,,283.1686848,canada
cs000972,technical,2/21/2019,premium,payg,4,level_1_5,level_2_6,level_3_3,group_6,0,3,8.6832,16.7944,source_1,customer,weekday,prime_time,no,799.0831177,26594.06,1315,257.2789279,united states of america
cs000973,non technical,12/3/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,11,0.0996,1949.440909,source_5,customer,weekday,prime_time,no,1059.083118,0,0,337.335826,united states of america
cs000974,technical,1/28/2019,free,lite,3,level_1_2,level_2_12,level_3_49,group_3,1,3,526.35,2230.6276,source_3,customer,weekday,prime_time,yes,,,,281.7847497,india
cs000975,technical,9/1/2018,free,payg,4,level_1_2,level_2_24,level_3_59,group_3,1,6,2600.133,2953.8666,source_11,customer,weekend,prime_time,no,,0,,430.7183608,united kingdom
cs000976,non technical,11/24/2017,basic,payg,4,level_1_7,level_2_20,level_3_1,group_13,0,,0,0,source_11,customer,weekday,prime_time,no,1013.083118,30.24,,711.6372149,czech republic
cs000977,,12/20/2017,premium,subscription,2,,level_2_18,level_3_79,group_12,0,12,540.033,2792.86805,source_1,employee,weekday,prime_time,no,,619.61,,685.701752,united states of america
cs000978,technical,9/26/2019,standard,subscription,3,level_1_9,level_2_26,level_3_104,group_9,2,11,18.9498,3424.995436,source_3,customer,weekday,prime_time,no,800.0831177,0,0,40.66366169,france
cs000979,non technical,1/11/2019,standard,subscription,4,level_1_7,level_2_20,level_3_23,group_13,0,1,8819.5998,8819.5998,source_1,customer,weekday,non_prime_time,no,,0,,299.0359418,japan
cs000980,non technical,4/21/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,713.0832,713.0832,source_3,customer,weekend,prime_time,no,,1386.63,,198.3775043,united states of america
cs000981,technical,8/13/2019,free,lite,4,level_1_8,level_2_20,level_3_137,group_8,1,2,3534.9498,2171.2083,source_3,customer,weekday,prime_time,no,,,,84.32338391,chile
cs000982,non technical,7/22/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,4,6966.6,17895.83745,source_3,customer,weekday,non_prime_time,no,,0,,106.8847612,singapore
cs000983,technical,4/9/2019,standard,subscription,2,level_1_1,level_2_5,level_3_15,group_2,0,4,49.4328,2087.78325,source_3,customer,weekday,prime_time,no,798.0831177,3078.15,64,210.2124348,united states of america
cs000984,non technical,12/13/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,2,10.6998,33.1416,source_5,customer,weekday,non_prime_time,no,,309.06,,328.0767288,mexico
cs000985,technical,7/14/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,1,2,12.5328,33.8331,source_5,customer,weekend,prime_time,no,,0,,114.6385228,united states of america
cs000986,technical,5/29/2019,standard,payg,2,level_1_1,level_2_5,level_3_78,group_2,0,17,113.8662,1631.453894,source_3,customer,weekday,non_prime_time,no,,95506.47,,160.956127,united states of america
cs000987,technical,6/12/2019,basic,payg,4,level_1_5,level_2_7,level_3_19,group_6,0,1,503.6832,503.6832,source_3,customer,weekday,prime_time,no,,0,,146.4045182,canada
cs000988,non technical,12/8/2018,basic,payg,1,level_1_7,level_2_11,level_3_137,group_13,0,,0,0,source_5,employee,weekend,prime_time,no,,,,332.3598885,unspecified
cs000989,,5/4/2018,premium,subscription,4,,level_2_24,level_3_8,group_12,0,4,200.5332,1829.33745,source_1,employee,weekday,prime_time,no,,619.61,,550.4153862,united states of america
cs000990,,7/20/2018,basic,lite,4,,level_2_4,level_3_144,group_30,0,5,49.3998,2843.4666,source_11,customer,weekday,prime_time,no,,,,473.59262,austria
cs000991,technical,6/17/2019,basic,payg,2,level_1_3,level_2_11,level_3_137,group_4,4,35,0.0498,37.00998857,source_5,employee,weekday,non_prime_time,yes,4682.083118,47406,870,142.0108029,united states of america
cs000992,,12/15/2017,free,lite,4,,level_2_24,level_3_49,group_30,1,6,149154.0828,26051.2055,source_1,employee,weekday,prime_time,no,,,,690.7591247,russian federation
cs000993,non technical,5/15/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,3,1527.0996,6762.9388,source_3,customer,weekday,non_prime_time,no,,0,,174.8051084,poland
cs000994,technical,12/27/2018,basic,payg,4,level_1_9,level_2_26,level_3_31,group_9,1,4,8545.1832,8013.26655,source_1,customer,weekday,prime_time,no,,1316.04,,313.5442172,india
cs000995,technical,4/11/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,1,111.5166,111.5166,source_5,employee,weekday,prime_time,no,4249.083118,25193.44,292.43,208.3433839,united states of america
cs000996,technical,8/21/2019,free,lite,4,level_1_2,level_2_2,level_3_59,group_3,1,3,676.833,710.511,source_3,customer,weekday,non_prime_time,no,,,,76.85249271,germany
cs000997,,9/3/2018,standard,payg,4,,level_2_4,level_3_79,group_12,0,2,1143.033,9896.1,source_5,employee,weekday,non_prime_time,no,,0,,428.8079441,netherlands
cs000998,technical,7/24/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,2,440.6328,220.3164,source_5,employee,weekday,prime_time,no,1968.083118,220078.62,5733.32,104.0831293,united states of america
cs000999,non technical,8/20/2019,standard,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,1,112.7496,112.7496,source_10,customer,weekday,non_prime_time,no,,,,77.88086076,unspecified
cs0001000,non technical,2/1/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,1,2,8.8164,18902.625,source_5,customer,weekday,prime_time,no,3459.083118,18985.82,400.6,277.2555598,saudi arabia
cs0001001,,8/7/2018,premium,subscription,4,,level_2_24,level_3_64,group_30,1,2,103.8996,54.0081,source_1,employee,weekday,prime_time,no,,0,,455.7742172,japan
cs0001002,technical,2/18/2019,free,lite,4,level_1_1,level_2_12,level_3_126,group_2,0,3,9,13.7722,source_3,customer,weekday,prime_time,no,,,,260.6009534,united kingdom
cs0001003,technical,4/26/2019,basic,payg,4,level_1_9,level_2_26,level_3_17,group_9,0,16,6.1332,1784.430187,source_3,customer,weekday,non_prime_time,no,1248.083118,10276.36,259.9,193.9480367,other non-specified areas
cs0001004,non technical,1/11/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,6,15.6498,4564.6694,source_1,customer,weekday,prime_time,no,,977.17,,298.4808029,japan
cs0001005,non technical,1/9/2018,basic,payg,4,level_1_7,level_2_20,level_3_79,group_13,1,5,342.8166,306.63996,source_1,employee,weekday,non_prime_time,no,,,,666.0829209,japan
cs0001006,non technical,5/18/2019,free,lite,4,level_1_7,level_2_20,level_3_137,group_13,0,2,20664.2832,13916.6415,source_10,customer,weekend,prime_time,no,,,,171.5531061,united arab emirates
cs0001007,technical,11/20/2018,free,lite,4,level_1_2,level_2_18,level_3_59,group_3,2,7,23019.3498,5552.802343,source_1,employee,weekday,prime_time,no,,,,350.1656409,russian federation
cs0001008,non technical,1/29/2019,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,1193.7162,9532.8831,source_10,customer,weekday,prime_time,no,,,,280.4790205,unspecified
cs0001009,technical,4/8/2019,basic,subscription,3,level_1_10,level_2_28,level_3_139,group_10,5,31,1061.9166,1687.132781,source_5,customer,weekday,prime_time,yes,1261.083118,2865682.25,51397.11,211.5842983,brazil
cs0001010,technical,11/25/2018,free,lite,4,level_1_2,level_2_24,level_3_59,group_3,1,3,33597.3666,11644.111,source_11,customer,weekend,prime_time,no,,,,345.7085807,india
cs0001011,technical,6/30/2019,basic,payg,4,level_1_2,level_2_2,level_3_59,group_3,0,8,50.9328,486.4416,source_3,customer,weekend,non_prime_time,no,,0,,129.0178515,united states of america
cs0001012,technical,7/17/2019,free,lite,4,level_1_2,level_2_20,level_3_59,group_3,1,4,1454.9664,2073.2832,source_3,customer,weekday,prime_time,no,,,,111.3532797,afghanistan
cs0001013,,4/10/2018,basic,payg,4,,level_2_18,level_3_79,group_12,0,5,1423.383,1728.62328,source_11,customer,weekday,prime_time,no,845.0831177,62.68,,574.3313584,india
cs0001014,technical,6/20/2019,standard,subscription,2,level_1_1,level_2_12,level_3_126,group_2,0,3,339.4332,5878.8166,source_3,customer,weekday,prime_time,no,798.0831177,92857.13,3813.12,138.4712774,united states of america
cs0001015,,4/27/2019,basic,payg,4,,level_2_20,level_3_23,group_17,0,1,7348.8996,7348.8996,source_1,customer,weekend,non_prime_time,no,,0,,192.8477589,netherlands
cs0001016,technical,5/13/2019,basic,payg,4,level_1_9,level_2_11,level_3_105,group_9,1,4,555.3162,352.8333,source_5,customer,weekday,prime_time,no,3780.083118,1383423.93,24994.73,176.1662311,united states of america
cs0001017,non technical,7/19/2019,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,3620.3664,3620.3664,source_10,customer,weekday,prime_time,no,,,,109.3195066,unspecified
cs0001018,non technical,12/5/2018,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,2,26.4498,763.1916,source_10,customer,weekday,prime_time,no,,,,335.1390205,unspecified
cs0001019,technical,6/27/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,1,184.9164,184.9164,source_3,customer,weekday,prime_time,no,3353.083118,59734.5,1062.5,131.3157913,canada
cs0001020,non technical,11/21/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,84,2103.2082,source_10,customer,weekday,prime_time,no,,,,349.2199464,unspecified
cs0001021,non technical,4/10/2019,basic,payg,4,level_1_7,level_2_11,level_3_137,group_13,0,2,69.2832,624.9414,source_5,employee,weekday,prime_time,no,819.0831177,9138.38,183.63,209.6159418,other non-specified areas
cs0001022,technical,3/14/2019,standard,subscription,2,level_1_2,level_2_24,level_3_64,group_3,0,22,15.0162,2099.022709,source_1,customer,weekday,prime_time,no,,0,,236.6252821,united states of america
cs0001023,technical,8/22/2019,basic,payg,4,level_1_1,level_2_25,level_3_137,group_2,0,6,411.2664,2466.4055,source_3,customer,weekday,prime_time,no,,0,,75.1000853,united states of america
cs0001024,,4/4/2018,basic,payg,4,,level_2_24,level_3_87,group_33,1,4,263.9832,9459.35415,source_1,employee,weekday,prime_time,no,,0,,580.6193098,germany
cs0001025,non technical,11/1/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,706.8996,706.8996,source_10,customer,weekday,prime_time,no,1842.083118,-23.42,0,369.3534649,sweden
cs0001026,technical,1/2/2019,basic,payg,4,level_1_2,level_2_2,level_3_131,group_3,0,18,41.9664,173.4925667,source_1,customer,weekday,prime_time,no,,3.48,,307.3760459,united states of america
cs0001027,technical,1/10/2019,basic,payg,4,level_1_8,level_2_24,level_3_76,group_8,1,4,170.85,4069.09995,source_3,customer,weekday,non_prime_time,no,,1316.04,,299.8054672,india
cs0001028,non technical,6/3/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,1708.0332,1708.0332,source_5,employee,weekday,prime_time,no,,0,,155.492377,united states of america
cs0001029,,4/18/2019,basic,payg,4,,level_2_21,level_3_137,group_17,0,2,3067.0662,17921.8083,source_3,customer,weekday,prime_time,no,1064.083118,3461.91,105.71,201.6097381,united kingdom
cs0001030,,5/22/2018,standard,subscription,2,,level_2_18,level_3_21,group_12,0,6,114.8664,99.2888,source_11,customer,weekday,non_prime_time,no,799.0831177,4687.23,163.29,532.8143793,finland
cs0001031,non technical,1/18/2018,premium,subscription,4,level_1_7,level_2_20,level_3_23,group_13,0,1,6650.4666,6650.4666,source_1,employee,weekday,prime_time,no,801.0831177,0,0,656.313326,united states of america
cs0001032,non technical,7/5/2018,standard,payg,4,level_1_7,level_2_18,level_3_23,group_13,1,2,375.2166,735.7665,source_10,customer,weekday,prime_time,no,,,,488.7747959,unspecified
cs0001033,technical,10/7/2019,basic,subscription,4,level_1_2,level_2_2,level_3_64,group_3,0,3,9.9666,365.7776,source_3,customer,weekday,prime_time,no,,0,,29.19146261,united states of america
cs0001034,non technical,7/19/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,1,2,45253.5162,22627.0164,source_10,customer,weekday,prime_time,no,,,,474.19887,united states of america
cs0001035,non technical,12/3/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,2,57.033,4990.2333,source_10,customer,weekday,prime_time,no,,,,337.4649117,italy
cs0001036,technical,5/24/2019,premium,subscription,2,level_1_5,level_2_15,level_3_110,group_6,1,7,40.8996,5558.757086,source_3,customer,weekday,prime_time,no,800.0831177,184.06,0,165.6543909,denmark
cs0001037,non technical,1/30/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,3,1285.2162,4974.4722,source_5,customer,weekday,non_prime_time,no,4391.083118,21831.9,414.81,280.0535922,fiji
cs0001038,non technical,10/14/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,0.033,602.3499,source_5,employee,weekday,prime_time,no,,121.76,,22.42125428,united arab emirates
cs0001039,technical,6/16/2019,basic,payg,4,level_1_6,level_2_15,level_3_137,group_7,1,2,341.4828,182.8833,source_3,customer,weekend,prime_time,no,,0,,142.2578978,israel
cs0001040,technical,6/12/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,2,76.7328,38.85,source_5,employee,weekday,prime_time,no,2764.083118,2193.16,0,146.6208839,ireland
cs0001041,non technical,4/5/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,360.2496,3684.4164,source_1,customer,weekday,prime_time,no,846.0831177,16429.34,23,214.1865089,costa rica
cs0001042,non technical,8/20/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,4,71384.9664,20623.8582,source_11,customer,weekday,prime_time,no,937.0831177,0,174.12,442.5485575,france
cs0001043,,12/13/2017,standard,subscription,2,,level_2_24,level_3_126,group_12,0,5,3.9666,9801.85656,source_11,customer,weekday,prime_time,yes,798.0831177,0,0,692.7200853,australia
cs0001044,non technical,9/10/2018,basic,payg,4,level_1_7,level_2_20,level_3_49,group_13,2,3,44.133,20.5722,source_10,customer,weekday,prime_time,no,,0,,421.4213469,united states of america
cs0001045,technical,7/12/2019,free,lite,4,level_1_2,level_2_2,level_3_64,group_3,0,4,93.3498,45.90825,source_3,customer,weekday,prime_time,no,,,,116.4089163,brazil
cs0001046,technical,4/5/2019,free,lite,4,level_1_2,level_2_2,level_3_131,group_3,0,1,87.5496,87.5496,source_3,customer,weekday,non_prime_time,no,,,,214.8888353,india
cs0001047,non technical,7/12/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,2,86351.6328,49652.8749,source_11,customer,weekday,prime_time,no,,,,481.644252,india
cs0001048,non technical,8/14/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,18422.883,18422.883,source_11,customer,weekday,prime_time,no,877.0831177,75.72,,448.2571108,south africa
cs0001049,technical,7/22/2019,free,lite,4,level_1_2,level_2_2,level_3_49,group_3,0,1,1142.6166,1142.6166,source_3,customer,weekday,prime_time,no,,,,106.6199927,spain
cs0001050,non technical,5/6/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,2,25788.0498,18513.6831,source_3,customer,weekday,non_prime_time,no,,-8,,184.0311733,united states of america
cs0001051,technical,9/20/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,5,34.5666,1078.89996,source_3,customer,weekday,prime_time,no,1660.083118,1016949.46,28099.4,46.60259687,japan
cs0001052,,7/8/2018,basic,payg,4,,level_2_18,level_3_79,group_12,0,5,0.0996,1301.35656,source_5,employee,weekend,prime_time,no,921.0831177,322.33,0,485.2656061,ukraine
cs0001053,technical,9/19/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,2,14.8332,2945.7165,source_3,customer,weekday,prime_time,no,1110.083118,8306.13,179.38,47.47887002,brazil
cs0001054,technical,9/5/2018,standard,subscription,2,level_1_4,level_2_4,level_3_59,group_5,0,6,28.95,6724.5555,source_11,customer,weekday,non_prime_time,no,,289.52,,426.8896455,japan
cs0001055,,8/1/2018,standard,subscription,2,,level_2_11,level_3_78,group_12,0,15,61.6332,1444.09,source_5,employee,weekday,prime_time,yes,,157.47,,461.4052705,turkey
cs0001056,,3/30/2018,basic,payg,4,,level_2_24,level_3_49,group_30,0,4,55.5498,1053.8457,source_11,customer,weekday,prime_time,no,,1155.79,,585.20137,united states of america
cs0001057,technical,12/25/2018,free,lite,4,level_1_5,level_2_20,level_3_23,group_6,2,4,1404.333,7631.9625,source_6,employee,weekday,non_prime_time,no,,,,316.0638353,india
cs0001058,non technical,3/28/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,2,17606.25,8903.3415,source_3,customer,weekday,prime_time,no,,0,,222.4171223,germany
cs0001059,non technical,1/15/2019,basic,subscription,4,level_1_7,level_2_20,level_3_23,group_13,0,2,19736.1996,29498.6166,source_5,customer,weekday,prime_time,no,1611.083118,156196.38,3600.5,294.1363932,united states of america
cs0001060,non technical,6/17/2019,free,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,1351.7496,1351.7496,source_10,customer,weekday,prime_time,no,,,,141.6375622,unspecified
cs0001061,non technical,5/10/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,96.6996,96.6996,source_5,employee,weekday,prime_time,no,847.0831177,45.44,0,179.4839858,brazil
cs0001062,non technical,9/1/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,2,7,29426.25,7359.278571,source_5,employee,weekend,prime_time,no,,358,,65.27233067,united states of america
cs0001063,non technical,7/23/2018,standard,payg,4,level_1_7,level_2_20,level_3_137,group_13,1,2,64.533,4863.4833,source_10,customer,weekday,prime_time,no,,,,470.4994719,unspecified
cs0001064,non technical,5/27/2019,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,2920.9332,1519.7583,source_10,customer,weekday,prime_time,no,,,,162.7649117,unspecified
cs0001065,,4/10/2018,basic,payg,4,,level_2_24,level_3_111,group_12,0,3,11608.3164,3892.1166,source_1,employee,weekday,non_prime_time,no,,0,,574.9251084,japan
cs0001066,non technical,10/14/2019,free,payg,4,level_1_7,level_2_20,level_3_103,group_13,0,1,441.3,441.3,source_10,customer,weekday,prime_time,no,,,,22.71755058,unspecified
cs0001067,non technical,5/2/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,3,3258.183,1120.1166,source_3,customer,weekday,prime_time,no,896.0831177,0,0,187.4586733,spain
cs0001068,non technical,6/22/2019,basic,payg,4,level_1_7,level_2_20,level_3_31,group_13,0,1,6400.5162,6400.5162,source_10,customer,weekend,non_prime_time,no,,6085.64,,137.020039,argentina
cs0001069,technical,8/14/2019,basic,payg,3,level_1_8,level_2_11,level_3_137,group_8,1,16,147.1998,2548.624988,source_5,customer,weekday,non_prime_time,yes,,568340.73,,83.86001586,japan
cs0001070,technical,7/8/2019,standard,subscription,2,level_1_5,level_2_7,level_3_71,group_6,0,9,187.5996,3852.412933,source_3,customer,weekday,prime_time,no,799.0831177,0,0,120.1465552,chile
cs0001071,technical,3/4/2019,basic,payg,4,level_1_2,level_2_2,level_3_101,group_3,0,3,446.4162,2140.111,source_3,customer,weekday,prime_time,no,,0,,246.7220529,japan
cs0001072,non technical,3/30/2018,basic,payg,4,level_1_7,level_2_20,level_3_107,group_13,0,1,6742.4166,6742.4166,source_11,customer,weekday,prime_time,no,,500.36,,585.1842057,guadeloupe
cs0001073,technical,6/25/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,3,4.7166,6.4166,source_5,customer,weekday,prime_time,no,3248.083118,132675.22,2531,133.1706987,brazil
cs0001074,non technical,3/20/2019,premium,payg,3,level_1_7,level_2_20,level_3_23,group_13,1,8,31.1832,1302.1437,source_5,customer,weekday,prime_time,no,1364.083118,19247287.46,267940.8,230.4218677,united states of america
