case_number,sentiment_overall,anger_overall,disgust_overall,fear_overall,joy_overall,sadness_overall,sentiment_conversation_last3,anger_sentiment_last3,disgust_sentiment_last3,fear_sentiment_last3,joy_sentiment_last3,sadness_sentiment_last3,sentiment_conversation_last,anger_conversation_last,disgust_conversation_last,fear_conversation_last,joy_conversation_last,sadness_conversation_last
cs0003188,-0.370122,0.107965,0.038683,0.486758,0.639112,0.606644,-0.370122,0.107965,0.038683,0.486758,0.639112,0.606644,0.457409,0.1892,0.010585,0.155808,0.023571,0.784173
cs0003245,-0.328003,0.057113,0.031111,0.06406,0.479461,0.569126,-0.328003,0.057113,0.031111,0.06406,0.479461,0.569126,0.987366,0.077302,0.010549,0.014021,0.836014,0.034216
cs0002555,-0.335581,0.101188,0.011966,0.111691,0.650723,0.555445,-0.335581,0.101188,0.011966,0.111691,0.650723,0.555445,0.946321,0.005383,0.005482,0.005805,0.804174,0.017429
cs0001223,,,,,,,,,,,,,,,,,,
cs000670,,,,,,,,,,,,,,,,,,
cs000895,,,,,,,,,,,,,,,,,,
cs0003299,0.756328,0.445278,0.043206,0.101176,0.592469,0.108877,0.681546,0.447564,0.026827,0.104334,0.085538,0.10833,0.520314,0.18163,0.013042,0.072763,0.031869,0.150992
cs0001226,,,,,,,,,,,,,,,,,,
cs0001060,,,,,,,,,,,,,,,,,,
cs0002262,0.315394,0.041501,0.003537,0.027337,0.167064,0.058712,0.315394,0.041501,0.003537,0.027337,0.167064,0.058712,-0.902537,0.096749,0.011542,0.030165,0.052899,0.215691
cs000941,,,,,,,,,,,,,,,,,,
cs0001275,,,,,,,,,,,,,,,,,,
cs0002862,0.722996,0.076447,0.055164,0.028622,0.103468,0.104234,0.722996,0.076447,0.055164,0.028622,0.103468,0.104234,0.722996,0.076447,0.055164,0.028622,0.103468,0.104234
cs0002282,,,,,,,,,,,,,,,,,,
cs0001598,,,,,,,,,,,,,,,,,,
cs0002701,0.769518,0.713152,0.039311,0.036824,0.066868,0.11479,0.769518,0.713152,0.039311,0.036824,0.066868,0.11479,0.769518,0.713152,0.039311,0.036824,0.066868,0.11479
cs0001574,,,,,,,,,,,,,,,,,,
cs0002996,,,,,,,,,,,,,,,,,,
cs0001113,-0.714661,0.153507,0.111188,0.102562,0.095964,0.582794,-0.714661,0.153507,0.111188,0.102562,0.095964,0.582794,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002365,,,,,,,,,,,,,,,,,,
cs0003008,0,0.123857,0.114815,0.066783,0.028485,0.046084,0,0.123857,0.114815,0.066783,0.028485,0.046084,0,0.127813,0.089606,0.057759,0.022358,0.06454
cs000517,,,,,,,,,,,,,,,,,,
cs0003351,0.645165,0.058498,0.051794,0.091125,0.198518,0.633706,0.645165,0.058498,0.051794,0.091125,0.198518,0.633706,0.772547,0.066846,0.01927,0.101299,0.144588,0.628586
cs0003076,,,,,,,,,,,,,,,,,,
cs000618,,,,,,,,,,,,,,,,,,
cs0001107,-0.383231,,,,,,-0.358132,,,,,,0.249176,,,,,
cs000719,,,,,,,,,,,,,,,,,,
cs0003180,0,0.075248,0.022992,0.267918,0.319299,0.299664,0,0.075248,0.022992,0.267918,0.319299,0.299664,0,0.075248,0.022992,0.267918,0.319299,0.299664
cs0002111,,,,,,,,,,,,,,,,,,
cs0002213,,,,,,,,,,,,,,,,,,
cs000927,,,,,,,,,,,,,,,,,,
cs0001140,-0.279451,0.045544,0.030743,0.038276,0.142396,0.598187,0.703236,0.07589,0.04154,0.058614,0.484385,0.143371,0.977644,0.109299,0.027645,0.040506,0.512798,0.081752
cs000146,,,,,,,,,,,,,,,,,,
cs000211,-0.426131,0.088187,0.040214,0.083968,0.539577,0.544804,-0.314471,0.086854,0.039754,0.084202,0.562029,0.563491,0.570672,0.072095,0.044017,0.080406,0.651556,0.251726
cs000265,,,,,,,,,,,,,,,,,,
cs0002612,0.543155,0.72666,0.028597,0.063704,0.537591,0.128726,0.543155,0.72666,0.028597,0.063704,0.537591,0.128726,0.520925,0.097409,0.003375,0.193359,0.317285,0.414704
cs000103,,,,,,,,,,,,,,,,,,
cs0001611,-0.349184,0.443425,0.075845,0.075836,0.121465,0.570108,0.864462,0.041236,0.003709,0.006407,0.190502,0.0347,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000866,,,,,,,,,,,,,,,,,,
cs0002463,,,,,,,,,,,,,,,,,,
cs0001492,0.649222,0.022982,0.010001,0.027784,0.040154,0.059862,0.649222,0.022982,0.010001,0.027784,0.040154,0.059862,-0.740965,0.098642,0.072729,0.14819,0.138253,0.39356
cs0002207,0.843785,0.023472,0.01644,0.042586,0.634402,0.087088,0,0.045778,0.021391,0.124868,0.298279,0.248644,0,0.035671,0.024206,0.087664,0.442748,0.183632
cs0002802,,,,,,,,,,,,,,,,,,
cs0002538,,,,,,,,,,,,,,,,,,
cs000316,,,,,,,,,,,,,,,,,,
cs000188,0.919386,0.047015,0.011391,0.066884,0.100455,0.075187,0.919386,0.047015,0.011391,0.066884,0.100455,0.075187,0.919386,0.050885,0.009957,0.057451,0.06852,0.026098
cs0003158,,,,,,,,,,,,,,,,,,
cs0001011,0.522247,0.105901,0.045746,0.049957,0.496278,0.493626,0.394962,0.1129,0.056381,0.04294,0.483005,0.5018,0.457588,0.007725,0.001686,0.019998,0.650325,0.253542
cs0001927,-0.632448,0.078655,0.010324,0.031523,0.071454,0.064457,-0.823386,0.073978,0.029794,0.031824,0.04285,0.070728,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0003222,,,,,,,,,,,,,,,,,,
cs0001816,,,,,,,,,,,,,,,,,,
cs0009,,,,,,,,,,,,,,,,,,
cs0001228,,,,,,,,,,,,,,,,,,
cs0001651,,,,,,,,,,,,,,,,,,
cs0003131,,,,,,,,,,,,,,,,,,
cs000312,0.78113,0.046407,0.03496,0.060154,0.564629,0.418254,0.852987,0.049342,0.048616,0.059976,0.154816,0.455462,0,0.045401,0.042848,0.035934,0.06547,0.100146
cs000936,,,,,,,,,,,,,,,,,,
cs000553,-0.502376,0.095805,0.089398,0.076213,0.128554,0.170169,-0.502376,0.095805,0.089398,0.076213,0.128554,0.170169,0.940367,0.203531,0.005707,0.014634,0.145845,0.101733
cs0002580,,,,,,,,,,,,,,,,,,
cs0002967,,,,,,,,,,,,,,,,,,
cs000415,,,,,,,,,,,,,,,,,,
cs0003367,,,,,,,,,,,,,,,,,,
cs0001315,,,,,,,,,,,,,,,,,,
cs000991,,,,,,,,,,,,,,,,,,
cs000280,,,,,,,,,,,,,,,,,,
cs000229,,,,,,,,,,,,,,,,,,
cs000419,,,,,,,,,,,,,,,,,,
cs000454,,,,,,,,,,,,,,,,,,
cs0001722,,,,,,,,,,,,,,,,,,
cs0001488,,,,,,,,,,,,,,,,,,
cs0001965,0,0.188236,0.099944,0.145863,0.026695,0.312397,0,0.188236,0.099944,0.145863,0.026695,0.312397,0,0.188236,0.099944,0.145863,0.026695,0.312397
cs0001019,,,,,,,,,,,,,,,,,,
cs0001103,,,,,,,,,,,,,,,,,,
cs000572,,,,,,,,,,,,,,,,,,
cs000360,,,,,,,,,,,,,,,,,,
cs00046,,,,,,,,,,,,,,,,,,
cs000196,0.781446,0.053399,0.024827,0.033087,0.668145,0.091273,0.781446,0.053399,0.024827,0.033087,0.668145,0.091273,0.992803,0.047525,0.003041,0.007801,0.833058,0.018858
cs0002492,,,,,,,,,,,,,,,,,,
cs0001439,,,,,,,,,,,,,,,,,,
cs0002088,0.640368,0.046052,0.098487,0.054132,0.440237,0.47752,0.431455,0.059085,0.051343,0.059035,0.117182,0.515235,0,0.045401,0.042848,0.035934,0.06547,0.100146
cs0001331,,,,,,,,,,,,,,,,,,
cs0001073,0.673516,0.121999,0.055517,0.054558,0.665403,0.479961,0.673516,0.121999,0.055517,0.054558,0.665403,0.479961,0.980008,0.286044,0.041638,0.032824,0.0652,0.043664
cs000495,0.615431,0.133231,0.035495,0.081347,0.541101,0.5221,0.615431,0.133231,0.035495,0.081347,0.541101,0.5221,0.921988,0.255957,0.019516,0.012745,0.046876,0.0224
cs0002360,0.599955,0.050599,0.033708,0.07713,0.503232,0.418831,0.738179,0.047597,0.023361,0.07255,0.519294,0.424671,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001444,,,,,,,,,,,,,,,,,,
cs0001312,0.714684,0.058284,0.030156,0.028372,0.547289,0.142617,0.994427,0.009199,0.007504,0.001147,0.131504,0.040855,0.931905,0.114637,0.026081,0.007826,0.254622,0.191021
cs000261,,,,,,,,,,,,,,,,,,
cs000550,0.781307,0.028087,0.011857,0.014667,0.207261,0.0133,0.781307,0.028087,0.011857,0.014667,0.207261,0.0133,0.989746,0.049803,0.032557,0.024917,0.392013,0.029658
cs000471,0.991987,0.004724,0.001482,0.001453,0.582466,0.003072,0.991987,0.004724,0.001482,0.001453,0.582466,0.003072,0.991987,0.004724,0.001482,0.001453,0.582466,0.003072
cs0001658,,,,,,,,,,,,,,,,,,
cs0001014,,,,,,,,,,,,,,,,,,
cs0001472,,,,,,,,,,,,,,,,,,
cs0002884,,,,,,,,,,,,,,,,,,
cs0003278,,,,,,,,,,,,,,,,,,
cs000187,,,,,,,,,,,,,,,,,,
cs0002849,0.997126,0.015811,0.003284,0.009979,0.863846,0.015592,0.997126,0.015811,0.003284,0.009979,0.863846,0.015592,0,0.021568,0.043624,0.069477,0.080373,0.12784
cs0003021,,,,,,,,,,,,,,,,,,
cs0002720,,,,,,,,,,,,,,,,,,
cs0002520,,,,,,,,,,,,,,,,,,
cs0001068,,,,,,,,,,,,,,,,,,
cs000578,0,0.070348,0.007341,0.100795,0.018543,0.17463,0,0.070348,0.007341,0.100795,0.018543,0.17463,-0.649218,0.059819,0.01741,0.105769,0.031097,0.142416
cs0001290,,,,,,,,,,,,,,,,,,
cs000307,0.705163,0.057689,0.033996,0.069433,0.5552,0.121032,0.677507,0.071008,0.039526,0.074983,0.523024,0.150492,0.488497,0.034284,0.030228,0.051266,0.557622,0.114605
cs0001585,,,,,,,,,,,,,,,,,,
cs000878,0.734049,0.058412,0.037407,0.061836,0.497622,0.453992,0.789141,0.041037,0.027679,0.062794,0.548709,0.51637,0.963359,0.051842,0.012597,0.02773,0.230347,0.04775
cs0002867,,,,,,,,,,,,,,,,,,
cs0002277,0.758444,0.185438,0.152537,0.05308,0.130204,0.143293,0.758444,0.185438,0.152537,0.05308,0.130204,0.143293,0.758444,0.185438,0.152537,0.05308,0.130204,0.143293
cs0002132,0.598339,0.725844,0.038325,0.084415,0.136623,0.125531,0.598339,0.725844,0.038325,0.084415,0.136623,0.125531,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0003198,,,,,,,,,,,,,,,,,,
cs000610,0.98822,0.06254,0.037498,0.060177,0.505657,0.218632,0.98822,0.06254,0.037498,0.060177,0.505657,0.218632,0.493407,0.072111,0.094542,0.128458,0.149823,0.281712
cs0002729,0.653421,0.056477,0.061828,0.092767,0.051697,0.089918,0.653421,0.056477,0.061828,0.092767,0.051697,0.089918,0,0.028386,0.117817,0.107317,0.075937,0.208691
cs0003181,,,,,,,,,,,,,,,,,,
cs0002312,,,,,,,,,,,,,,,,,,
cs0002257,,,,,,,,,,,,,,,,,,
cs000519,,,,,,,,,,,,,,,,,,
cs0002002,,,,,,,,,,,,,,,,,,
cs0002860,0,0.169679,0.099547,0.020518,0.107671,0.422892,0,0.169679,0.099547,0.020518,0.107671,0.422892,0,0.24163,0.089969,0.045153,0.048941,0.326671
cs0001718,-0.337357,0.725077,0.065162,0.10508,0.112613,0.154154,-0.337357,0.725077,0.065162,0.10508,0.112613,0.154154,-0.337357,0.725077,0.065162,0.10508,0.112613,0.154154
cs0002760,,,,,,,,,,,,,,,,,,
cs0001300,,,,,,,,,,,,,,,,,,
cs0002964,,,,,,,,,,,,,,,,,,
cs0003050,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001693,,,,,,,,,,,,,,,,,,
cs0003145,,,,,,,,,,,,,,,,,,
cs0002425,,,,,,,,,,,,,,,,,,
cs000820,,,,,,,,,,,,,,,,,,
cs000815,,,,,,,,,,,,,,,,,,
cs0003013,,,,,,,,,,,,,,,,,,
cs0002408,,,,,,,,,,,,,,,,,,
cs0002629,0.941376,0.053637,0.027653,0.075643,0.659348,0.087541,0.941376,0.053637,0.027653,0.075643,0.659348,0.087541,0,0.075248,0.022992,0.267918,0.319299,0.299664
cs000469,,,,,,,,,,,,,,,,,,
cs0002092,,,,,,,,,,,,,,,,,,
cs000819,,,,,,,,,,,,,,,,,,
cs0002367,0,0.10665,0.032977,0.130309,0.204825,0.383126,0,0.10665,0.032977,0.130309,0.204825,0.383126,0,0.075248,0.022992,0.267918,0.319299,0.299664
cs0001551,0.63993,0.087298,0.051278,0.082346,0.783076,0.434954,0.63993,0.087298,0.051278,0.082346,0.783076,0.434954,0,,,,,
cs0001794,0.709914,0.052607,0.028813,0.038018,0.093694,0.101932,0,0.016167,0.002572,0.007592,0.116617,0.024965,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0003095,,,,,,,,,,,,,,,,,,
cs0001006,,,,,,,,,,,,,,,,,,
cs000694,,,,,,,,,,,,,,,,,,
cs0002832,,,,,,,,,,,,,,,,,,
cs0001039,,,,,,,,,,,,,,,,,,
cs0002000,0,0.095712,0.052142,0.006714,0.045858,0.065032,0,0.095712,0.052142,0.006714,0.045858,0.065032,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000345,,,,,,,,,,,,,,,,,,
cs000659,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000885,,,,,,,,,,,,,,,,,,
cs0002168,,,,,,,,,,,,,,,,,,
cs000507,0.754534,0.056065,0.044977,0.071452,0.656405,0.136742,0.754534,0.056065,0.044977,0.071452,0.656405,0.136742,0.984816,0.054035,0.009903,0.082643,0.552145,0.145755
cs000913,0.711955,0.067189,0.066716,0.064338,0.653558,0.124805,0.883003,0.065809,0.059092,0.046318,0.648816,0.109612,0,0.13583,0.090034,0.098753,0.020512,0.204626
cs000251,-0.322454,0.0451,0.03262,0.120442,0.101454,0.421607,-0.322454,0.0451,0.03262,0.120442,0.101454,0.421607,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001811,,,,,,,,,,,,,,,,,,
cs0001040,,,,,,,,,,,,,,,,,,
cs0003266,,,,,,,,,,,,,,,,,,
cs0002407,,,,,,,,,,,,,,,,,,
cs000576,0.53187,0.084077,0.076761,0.114356,0.086824,0.142735,0.597749,0.081829,0.070537,0.110639,0.084906,0.126384,0.749767,0.109625,0.066579,0.086891,0.059511,0.064347
cs0003007,,,,,,,,,,,,,,,,,,
cs0002836,,,,,,,,,,,,,,,,,,
cs0002122,,,,,,,,,,,,,,,,,,
cs0001883,0.880905,0.03233,0.003768,0.008402,0.047864,0.023009,0.880905,0.03233,0.003768,0.008402,0.047864,0.023009,0.880905,0.03233,0.003768,0.008402,0.047864,0.023009
cs00037,-0.570879,0.527848,0.073658,0.505788,0.122025,0.559459,-0.793579,0.11367,0.062651,0.497989,0.113755,0.215715,-0.578468,0.453878,0.129304,0.031809,0.104025,0.214883
cs000847,,,,,,,,,,,,,,,,,,
cs000811,,,,,,,,,,,,,,,,,,
cs000703,0.54312,0.085025,0.07041,0.054705,0.201389,0.524597,0.71246,0.012586,0.006099,0.005129,0.238499,0.062632,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002955,,,,,,,,,,,,,,,,,,
cs000207,,,,,,,,,,,,,,,,,,
cs0002034,,,,,,,,,,,,,,,,,,
cs000147,,,,,,,,,,,,,,,,,,
cs000986,0.295182,0.071476,0.019894,0.072465,0.171649,0.505364,0.659009,0.035155,0.003869,0.019854,0.104406,0.086453,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000987,,,,,,,,,,,,,,,,,,
cs000634,,,,,,,,,,,,,,,,,,
cs0003296,,,,,,,,,,,,,,,,,,
cs0002639,,,,,,,,,,,,,,,,,,
cs000433,-0.45243,0.073322,0.03222,0.154317,0.71427,0.586797,0.600484,0.012127,0.002364,0.036147,0.843095,0.100168,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001129,-0.280707,0.175607,0.016196,0.14222,0.645022,0.544713,0.688759,0.150906,0.019007,0.131684,0.684454,0.161821,0.905998,0.042669,0.004879,0.013222,0.797609,0.05338
cs000173,,,,,,,,,,,,,,,,,,
cs000755,,,,,,,,,,,,,,,,,,
cs0002352,-0.503205,0.086437,0.036836,0.080764,0.568782,0.596037,-0.661386,0.068005,0.010378,0.047925,0.027846,0.521557,-0.740965,0.098642,0.072729,0.14819,0.138253,0.39356
cs00032,,,,,,,,,,,,,,,,,,
cs000806,,,,,,,,,,,,,,,,,,
cs0001369,0.84581,0.620886,0.02249,0.030025,0.671865,0.099572,0.84581,0.620886,0.02249,0.030025,0.671865,0.099572,0.968506,0.606633,0.00851,0.013877,0.264113,0.005941
cs0002098,0,,,,,,0,,,,,,0,,,,,
cs0002023,,,,,,,,,,,,,,,,,,
cs0003356,,,,,,,,,,,,,,,,,,
cs0001914,-0.582708,0.118391,0.072026,0.117323,0.112584,0.548246,-0.310299,0.115392,0.075026,0.101661,0.13672,0.174534,0.334382,0.204987,0.076983,0.146891,0.139286,0.192947
cs00040,,,,,,,,,,,,,,,,,,
cs0001207,,,,,,,,,,,,,,,,,,
cs0002420,,,,,,,,,,,,,,,,,,
cs0001176,,,,,,,,,,,,,,,,,,
cs0002807,-0.536307,0.100589,0.05316,0.069762,0.158613,0.549667,-0.360298,0.091231,0.03606,0.063934,0.554178,0.513209,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001386,0.99086,0.0136,0.022555,0.002722,0.216615,0.013849,0.99086,0.0136,0.022555,0.002722,0.216615,0.013849,0.99086,0.0136,0.022555,0.002722,0.216615,0.013849
cs000681,0.52345,0.089276,0.030723,0.048491,0.145981,0.142154,0.52213,0.083367,0.02948,0.0373,0.068485,0.524389,0.517619,0.152167,0.008364,0.004474,0.134721,0.006319
cs0003164,,,,,,,,,,,,,,,,,,
cs000921,,,,,,,,,,,,,,,,,,
cs0001064,,,,,,,,,,,,,,,,,,
cs0001954,0.374579,0.716689,0.021673,0.044603,0.088341,0.135357,0.752434,0,0,0.014647,0.019755,0.110482,0.906651,0.109114,0.016454,0.012398,0.095929,0.046856
cs0001437,0.43433,0.486154,0.017213,0.095751,0.675373,0.171774,0.43433,0.486154,0.017213,0.095751,0.675373,0.171774,0.449107,0.040703,0.002555,0.090751,0.170703,0.125157
cs0002803,,,,,,,,,,,,,,,,,,
cs0002697,,,,,,,,,,,,,,,,,,
cs000953,,,,,,,,,,,,,,,,,,
cs0001212,,,,,,,,,,,,,,,,,,
cs000573,0.8681,0.013988,0.008694,0.021586,0.676433,0.032285,0.8681,0.013988,0.008694,0.021586,0.676433,0.032285,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002334,,,,,,,,,,,,,,,,,,
cs0001201,,,,,,,,,,,,,,,,,,
cs0002504,,,,,,,,,,,,,,,,,,
cs0002080,,,,,,,,,,,,,,,,,,
cs0003024,-0.430554,0.045598,0.032014,0.041067,0.444289,0.516764,-0.430554,0.045598,0.032014,0.041067,0.444289,0.516764,0,0.028386,0.117817,0.107317,0.075937,0.208691
cs0001649,,,,,,,,,,,,,,,,,,
cs0001457,0.467967,0.501143,0.046379,0.050083,0.144396,0.575416,-0.552198,0.158989,0.012626,0.029805,0.031761,0.138284,-0.349909,0.290231,0.043748,0.043134,0.044762,0.188946
cs0001647,,,,,,,,,,,,,,,,,,
cs0002875,,,,,,,,,,,,,,,,,,
cs0001277,0.491213,0.057066,0.031048,0.036678,0.648825,0.453277,0.491213,0.057066,0.031048,0.036678,0.648825,0.453277,0.979696,0.029255,0.004144,0.003847,0.642871,0.062723
cs0002511,-0.279978,0.109971,0.049705,0.101176,0.545903,0.531929,0.608603,0.08528,0.043388,0.096154,0.546754,0.44166,0.818985,0.040487,0.01744,0.018356,0.256489,0.076648
cs000421,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001528,,,,,,,,,,,,,,,,,,
cs0001853,,,,,,,,,,,,,,,,,,
cs0002190,,,,,,,,,,,,,,,,,,
cs0002192,-0.617185,0.17694,0.012074,0.082693,0.041507,0.222952,-0.617185,0.17694,0.012074,0.082693,0.041507,0.222952,-0.617185,0.134052,0.019415,0.117918,0.049691,0.247045
cs0002006,,,,,,,,,,,,,,,,,,
cs000259,0,0.016399,0.013349,0.019156,0.125169,0.042326,0,0.016399,0.013349,0.019156,0.125169,0.042326,0,,,,,
cs0001906,-0.718266,0.157579,0.012228,0.037075,0.13385,0.147714,-0.718266,0.157579,0.012228,0.037075,0.13385,0.147714,-0.718266,0.157579,0.012228,0.037075,0.13385,0.147714
cs000438,,,,,,,,,,,,,,,,,,
cs0001764,,,,,,,,,,,,,,,,,,
cs0001772,,,,,,,,,,,,,,,,,,
cs0001758,,,,,,,,,,,,,,,,,,
cs0002225,,,,,,,,,,,,,,,,,,
cs0003083,,,,,,,,,,,,,,,,,,
cs0002595,,,,,,,,,,,,,,,,,,
cs0002081,,,,,,,,,,,,,,,,,,
cs0002819,,,,,,,,,,,,,,,,,,
cs0001105,,,,,,,,,,,,,,,,,,
cs0002648,-0.473656,0.126873,0.055313,0.090208,0.497938,0.438001,-0.49883,0.140658,0.057212,0.102294,0.50678,0.446812,0.368532,0.060814,0.001013,0.003468,0.024735,0.068601
cs0003172,0,0.278653,0.052866,0.251692,0.289175,0.202399,0,0.278653,0.052866,0.251692,0.289175,0.202399,0,0.278653,0.052866,0.251692,0.289175,0.202399
cs000534,0.718066,0.076756,0.074481,0.411765,0.534596,0.17474,0.718066,0.076756,0.074481,0.411765,0.534596,0.17474,0,0.028386,0.117817,0.107317,0.075937,0.208691
cs000239,,,,,,,,,,,,,,,,,,
cs0001367,,,,,,,,,,,,,,,,,,
cs000730,-0.316376,0.091662,0.026958,0.084914,0.486068,0.554111,0.514985,0.052715,0.010328,0.037709,0.496313,0.071279,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000195,,,,,,,,,,,,,,,,,,
cs0002710,,,,,,,,,,,,,,,,,,
cs000439,-0.592863,0.108548,0.042377,0.040313,0.12104,0.528837,-0.592863,0.108548,0.042377,0.040313,0.12104,0.528837,0.96154,0.237564,0.010303,0.004904,0.106673,0.355554
cs0001257,0.562328,,,,,,0.562328,,,,,,-0.522748,,,,,
cs000388,-0.369836,0.082997,0.046366,0.084842,0.157234,0.483366,-0.472139,0.035065,0.04218,0.094959,0.049961,0.300875,0,0.028386,0.117817,0.107317,0.075937,0.208691
cs0001028,-0.740965,0.098642,0.072729,0.14819,0.138253,0.39356,-0.740965,0.098642,0.072729,0.14819,0.138253,0.39356,-0.740965,0.098642,0.072729,0.14819,0.138253,0.39356
cs0001500,,,,,,,,,,,,,,,,,,
cs0002009,,,,,,,,,,,,,,,,,,
cs0002401,,,,,,,,,,,,,,,,,,
cs0003142,,,,,,,,,,,,,,,,,,
cs0002972,-0.602217,,,,,,-0.602217,,,,,,-0.602217,,,,,
cs0002522,,,,,,,,,,,,,,,,,,
cs0002161,0.306744,0.127606,0.014732,0.012584,0.021841,0.323247,0.306744,0.127606,0.014732,0.012584,0.021841,0.323247,0,0.223626,0.028276,0.044732,0.165189,0.266146
cs0001419,0,,,,,,0,,,,,,0,,,,,
cs0001898,0.557179,0.097165,0.039023,0.071788,0.658553,0.555256,0.557179,0.097165,0.039023,0.071788,0.658553,0.555256,0.995362,0.024613,0.011515,0.028155,0.52253,0.032168
cs000475,0.994455,0.016472,0.01185,0.002495,0.461822,0.025578,0.994455,0.016472,0.01185,0.002495,0.461822,0.025578,0.984484,0.016586,0.017606,0.003429,0.346759,0.036933
cs0002585,0.370582,0.734623,0.026787,0.039453,0.648753,0.101746,0.370582,0.734623,0.026787,0.039453,0.648753,0.101746,0.70693,0.255014,0.025794,0.013397,0.051918,0.021536
cs000835,0.760789,0.042252,0.026177,0.032176,0.557284,0.072702,0.760789,0.042252,0.026177,0.032176,0.557284,0.072702,0,0.028386,0.117817,0.107317,0.075937,0.208691
cs0002963,0.964732,0.029133,0.00157,0.007108,0.700526,0.016133,0.964732,0.029133,0.00157,0.007108,0.700526,0.016133,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001364,,,,,,,,,,,,,,,,,,
cs0002281,-0.295922,0.053813,0.030554,0.065097,0.549595,0.538202,-0.295922,0.053813,0.030554,0.065097,0.549595,0.538202,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001650,0.653427,0.073659,0.011253,0.039673,0.245335,0.129161,0.653427,0.073659,0.011253,0.039673,0.245335,0.129161,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000216,0.667036,0.075672,0.028152,0.11445,0.523504,0.42609,0.667036,0.075672,0.028152,0.11445,0.523504,0.42609,0.635002,0.073078,0.011788,0.125603,0.482308,0.069207
cs000680,,,,,,,,,,,,,,,,,,
cs000615,0.59521,0.739605,0.04247,0.675633,0.626668,0.551951,0.641709,0.137438,0.023721,0.680994,0.620263,0.595175,0.968847,0.002933,0.003089,0.011756,0.499955,0.007506
cs000696,,,,,,,,,,,,,,,,,,
cs0003129,,,,,,,,,,,,,,,,,,
cs00081,,,,,,,,,,,,,,,,,,
cs0001674,,,,,,,,,,,,,,,,,,
cs0002687,,,,,,,,,,,,,,,,,,
cs0001164,,,,,,,,,,,,,,,,,,
cs0002684,,,,,,,,,,,,,,,,,,
cs0001179,0.356579,0.067754,0.047261,0.069998,0.593453,0.520454,0.501408,0.062486,0.038851,0.080086,0.188866,0.145889,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002245,,,,,,,,,,,,,,,,,,
cs0002539,,,,,,,,,,,,,,,,,,
cs000328,0.994673,0.017023,0.004217,0.004804,0.526399,0.021592,0.994673,0.017023,0.004217,0.004804,0.526399,0.021592,0.994673,0.017023,0.004217,0.004804,0.526399,0.021592
cs0002795,0.412975,0.125669,0.020159,0.068311,0.529667,0.089451,0.412975,0.125669,0.020159,0.068311,0.529667,0.089451,0.412975,0.125669,0.020159,0.068311,0.529667,0.089451
cs000826,0.589153,0.106795,0.055577,0.060114,0.69286,0.22347,0.589153,0.106795,0.055577,0.060114,0.69286,0.22347,-0.453798,0.063457,0.065153,0.050754,0.185654,0.563879
cs000744,,,,,,,,,,,,,,,,,,
cs0001231,0.563481,0.097845,0.064133,0.071042,0.15335,0.231598,0.563481,0.097845,0.064133,0.071042,0.15335,0.231598,0.521889,0.030742,0.009196,0.031182,0.027328,0.308063
cs0003280,,,,,,,,,,,,,,,,,,
cs000812,0.884632,0.021342,0.007802,0.008667,0.609806,0.006776,0.925541,0.008235,0.003303,0.004229,0.693457,0.0047,0.916043,0.013337,0.005416,0.010475,0.731274,0.016023
cs0001427,0.525352,0.720834,0.032125,0.047128,0.566079,0.567999,0.525352,0.720834,0.032125,0.047128,0.566079,0.567999,0.825376,0.0617,0.009253,0.008651,0.08756,0.018194
cs000750,-0.747562,0.130841,0.035709,0.066032,0.007207,0.111668,-0.754711,0.161967,0.045475,0.058417,0.00566,0.233008,0,0.028386,0.117817,0.107317,0.075937,0.208691
cs0001415,,,,,,,,,,,,,,,,,,
cs000488,,,,,,,,,,,,,,,,,,
cs0001771,,,,,,,,,,,,,,,,,,
cs000428,,,,,,,,,,,,,,,,,,
cs000155,,,,,,,,,,,,,,,,,,
cs0001411,,,,,,,,,,,,,,,,,,
